"Qty";"Value";"Device";"Package";"Parts";"Description";"AVAILABILITY";"CENTERLINE_PITCH";"COMMENT";"DESCRIPTION";"EU_ROHS_COMPLIANCE";"HOUSEPART";"MF";"MP";"MPN";"NUMBER_OF_POSITIONS";"PACKAGE";"POPULATE";"PRICE";"PRODUCT_TYPE";"PURCHASE-URL";"TOLERANCE";"URL";"VOLTAGE";
"1";"";"CAPACITOR_P_10MM";"CP10MM";"C1";"Library:  MF_Passives";"";"";"";"";"";"";"";"";"";"";"";"1";"";"";"";"";"";"";
"1";"0.1";"R_R0603";"R0603";"R3";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"1K";"R_R0402";"R0402";"R4, R5";"RESISTOR, American symbol";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"292303-1";"292303-1";"TE_292303-1";"USB_HOST";"CONN USB RECEPT R/A TYPE A 4POS Check availability";"In Stock";"2 mm[.078 in]";"292303-1";" Conn";" Data";" USB";" Recept";" 2.0";" 4 Pos";" 1 Port";" Rt Angle";" A Ser";" Tin over Copper ";"Compliant";"";"TE Connectivity";"292303-1";"";
"1";"ADAFRUIT_SPI_LCDADAFRUIT_SPI_BOARD";"ADAFRUIT_SPI_LCDADAFRUIT_SPI_BOARD";"ADAFRUIT_SPI_BOARD";"SPI_BOARD";"Adafruit 2.8" TFT SPI LCD Display: https://github.com/adafruit/2.8-TFT-Breakout-PCB";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"6";"FIDUCIAL";"FIDUCIAL";"FIDUCIAL_40MIL";"FUD1, FUD2, FUD3, FUD4, FUD5, FUD6";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"3";"LED";"LED";"EIA-STD";"D1, D2, D3";"EIA-STD LED, LTST-C191TBKT";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"4";"MOUNTING_HOLE";"MOUNTING_HOLE";"MOUNTING_HOLE";"MGT1, MGT2, MGT3, MGT4";"Chassis Mounting Hole w/GND connection ability";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"1";"POCKETBEAGLE";"POCKETBEAGLE";"POCKETBEAGLE";"U1";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"POTENTIOMETER";"POTENTIOMETER";"POT-PO90S";"POT1, POT2";"Potentiometer - Examples:";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
"2";"PUSH_BUTTON";"PUSH_BUTTON";"BUTTON_12.5MM";"BUTTON1, BUTTON2";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";"";
